NUMBER_1,X_WORLD_1,Y_WORLD_1,XWIN_WORLD_1,YWIN_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO (V),MAGERR_ISO (V),FLUX_AUTO_1,FLUXERR_AUTO_1,FLUX_MAX_1,ISOAREA_IMAGE_1,CXX_IMAGE_1,CYY_IMAGE_1,CXY_IMAGE_1,A_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,XWIN_WORLD_2,YWIN_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO (B),MAGERR_ISO (B),FLUX_AUTO_2,FLUXERR_AUTO_2,FLUX_MAX_2,ISOAREA_IMAGE_2,CXX_IMAGE_2,CYY_IMAGE_2,CXY_IMAGE_2,A_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation
1,91.69710058,24.31799396,91.69707875,24.31798573,120.051544,86.3859,976363.5,1075.8163,11.425971,0.00119662,948028.25,1005.78705,66672.48,639,0.17132479,0.14928578,-0.009760307,2.597153,78.056564,2,1.0782316,0.07255548,37,91.69710083,24.31799374,91.69707873,24.31798564,120.05295,86.387344,968309.7,1044.2589,11.434964,0.00117118,941662.4,998.2844,66672.48,462,0.18988794,0.17411123,-0.005499416,2.3997607,80.39127,2,1.0470039,0.04489374,0.001145362
2,91.68629642,23.94085817,91.68631832,23.9408871,2503.7644,32.070274,19118.783,209.32008,15.696349,0.011889963,19186.502,229.24338,1493.2152,82,0.3128311,0.32496864,0.16681926,2.0616596,-42.919285,0,1.3080251,0.23548865,30,91.68632169,23.94088091,91.68631831,23.94088715,2503.6204,32.21581,17869.43,179.77565,15.769723,0.010925719,18829,211.13033,1493.2152,55,0.440467,0.4505515,0.0856507,1.57644,-41.642456,0,1.1019647,0.09252989,0.116710945
3,91.68631751,24.12263635,91.68631426,24.12263185,1354.925,28.379929,52152.484,297.33563,14.6068125,0.006191584,52513.387,298.38248,4288.7017,131,0.27951366,0.27752405,-0.021517638,1.9326996,47.641407,3,1.039576,0.038069367,2,91.68631751,24.12263635,91.68631422,24.12263177,1354.925,28.379929,51370.99,279.587,14.623205,0.005910563,52365.93,291.45117,4288.7017,102,0.3097262,0.31586745,0.023352874,1.8235446,-37.63308,3,1.0393728,0.037881374,0
4,91.68536303,24.12181781,91.68536068,24.12181417,1360.1165,22.891523,33005.14,245.6186,15.103545,0.008081826,34277.22,259.57758,2846.5195,96,0.30966792,0.3227139,-0.05009553,1.855969,37.701553,3,1.0855025,0.07876766,3,91.68536303,24.12181781,91.68535989,24.12181391,1360.1165,22.891523,31428.768,224.37679,15.156681,0.00775319,33187.566,243.84427,2846.5195,72,0.36392128,0.39719656,-0.025314389,1.6674682,18.631147,3,1.0565275,0.053503096,0
5,91.68647212,24.26328095,91.68645259,24.26326762,466.0463,26.321192,13368.239,177.4718,16.084814,0.014417334,13551.548,196.90889,1249.0305,63,0.4003379,0.39926356,0.00162701,1.5834645,-61.71884,0,1.0024413,0.002435386,24,91.68646365,24.26327185,91.68645249,24.26326755,466.10394,26.272533,12745.513,160.87804,16.136606,0.013707847,13442.841,193.2635,1249.0305,49,0.5010318,0.443972,-0.050451387,1.5172093,69.2587,0,1.084125,0.07759714,0.042977287
6,91.68563706,24.13736219,91.68559659,24.13732759,1261.8708,24.146648,18659.344,211.97124,15.722758,0.012337023,19130.494,239.76715,1265.9958,90,0.27374187,0.29709753,0.12700893,2.1278982,-39.790146,0,1.2588617,0.20563155,4,91.68563592,24.13737041,91.68559652,24.13732751,1261.819,24.139904,17782.428,190.88184,15.775022,0.011657445,19032.428,235.69292,1265.9958,71,0.312451,0.36656186,0.16684538,1.9928144,-36.015606,0,1.3025244,0.23226011,0.029836781
7,91.68404868,23.86000129,91.68407957,23.86004453,3014.8286,20.77416,3178.196,124.604385,17.644548,0.042577725,3495.2678,178.52039,194.64203,43,0.40033528,0.40305215,0.3866661,2.1907716,-44.798714,0,1.6899236,0.4082573,26,91.68407477,23.86004393,91.68407991,23.86004574,3014.5586,20.924046,2245.5276,91.03951,18.021704,0.04402926,3477.485,177.733,194.64203,23,0.62180525,0.81042004,0.45220754,1.4569006,-33.679546,0,1.4282796,0.29985702,0.175887535
8,91.68515879,24.30025637,91.68515907,24.30025462,232.38445,17.980524,26191.47,236.38814,15.3546,0.009801569,26317.162,243.76312,2015.4634,98,0.3115836,0.3011318,-0.008694449,1.8270822,70.12213,0,1.0224404,0.02194792,5,91.68515584,24.30025835,91.68515905,24.30025454,232.37196,17.963491,24886.963,208.66339,15.410069,0.009105508,25960.951,232.53491,2015.4634,70,0.3703567,0.39126414,-0.008064711,1.644866,10.546666,0,1.0298686,0.029002309,0.012027766
9,91.68403911,23.97031111,91.68403657,23.97033353,2317.6643,18.416725,2906.9897,111.19836,17.74139,0.04154174,3199.8977,148.71472,272.52432,30,0.47233516,0.6044098,0.097585835,1.4804424,-18.22977,0,1.1661528,0.14247942,23,91.68403675,23.97032446,91.68403662,23.97033349,2317.58,18.402826,2375.548,87.3501,17.96059,0.039932765,3186.4583,151.29707,272.52432,19,0.71722025,0.93373847,0.112247914,1.1922203,-13.701619,0,1.1604548,0.13826883,0.048682419
10,91.68434584,24.28040272,91.68432668,24.28039466,357.87628,13.712462,58627.656,327.06113,14.479743,0.006058376,57627.246,313.60733,4624.049,162,0.24471171,0.2514927,0.024431076,2.0609803,-37.243816,0,1.0524721,0.049856126,6,91.68434075,24.28040363,91.68432666,24.28039462,357.87064,13.68313,56119.613,291.12985,14.527213,0.005633806,56573.438,297.70093,4624.049,109,0.3186604,0.31786495,-6.47E-04,1.7740144,70.44888,0,1.0016117,0.001609087,0.017015986
